,,,,,,,,,,,,,,,,,,,,,,,
,Ending Cash Balance,"6,685,343",,"14,455,756",,"23,000,482",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"* Assume no change in Accounts Receivable, Inventory or other current assets other than cash; Accounts Payable or other current ",,,,,,,,,,,,,,,,,,,,,,
,Liabilities other than Notes Payable; Fixed Assets other than equipment; or Equity Accounts other than Retained Earnings,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,PICA,,,,,,,,,,,,,,,,,,,,,
,,Break - Even Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,,,Year 2,,,,Year 3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sales revenue,,,"90,000,000",,,,"112,896,000",,,,"126,443,520",,,,,,,,,,,
,Less: Variable Costs:,,,,,,,,,,,,,,,,,,,,,,
,     Variable Cost of Goods Sold,"57,600,000",,,,"72,253,440",,,,"80,923,853",,,,,,,,,,,,,
,     Variable Operating Costs,"25,368,000",,,,"31,821,619",,,,"35,640,214",,,,,,,,,,,,,
,          Total Variable Costs,,,"82,968,000",,,,"104,075,059",,,,"116,564,066",,,,,,,,,,,
,Contribution Margin,,,"7,032,000",,,,"8,820,941",,,,"9,879,454",,,,,,,,,,,
,Less: Fixed Costs,,,,,,,,,,,,,,,,,,,,,,
,     Fixed Cost of Goods Sold,"2,400,000",,,,"3,010,560",,,,"3,371,827",,,,,,,,,,,,,
,     Fixed Operating Costs,"5,000",,,,"2,958",,,,"2,082",,,,,,,,,,,,,
,     Depreciation,"2,858",,,,"4,898",,,,"3,498",,,,,,,,,,,,,
,     Interest Expense,"120,000",,,,"360,000",,,,"600,000",,,,,,,,,,,,,
,          Total Fixed Costs,,,"2,527,858",,,,"3,378,416",,,,"3,977,407",,,,,,,,,,,
,Income Before Tax,,,"4,504,142",,,,"5,442,524",,,,"5,902,047",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Fixed Costs,"2,527,858",,"3,378,416",,"3,977,407",,,,,,,,,,,,,,,,,
,Contribution Margin %,8%,,8%,,8%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Break Even Sales Volume,"32,353,131",,"43,239,119",,"50,905,379",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Equipment,,Depreciation,,,,,,,,,,,,,,,,,,,
,,Purchases,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Purchases Year 1,"20,000",,"2,858",,"4,898",,"3,498",,,,estimated based on website,http://www.frazaforklifts.com/used_equipment_list5.asp,,,,,,,,,,
,Equipment Purchases Year 2,0,,,,0,,0,,,,,,,,,,,,,,,
,Equipment Purchases Year 3,0,,,,,,0,,,,,,,,,,,,,,,
,,,,"2,858",,"4,898",,"3,498",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,MACRS Rates (7-year recovery period),0.1429,,0.2449,,0.1749,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense:,,,,,,,,,,,,,,,,,,,,,,
,Annual interest rate on debt,12%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,Average debt balance,"1,000,000",,"3,000,000",,"5,000,000",,,,,,,,,,,,,,,,,
,Interest expense,"120,000",,"360,000",,"600,000",,,,,,,,,,,,,,,,,
