,,,,,,,,,,,,,,,,,,,,,,,
,Ending Cash Balance,"4,016,761",,"9,421,492",,"15,806,807",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"* Assume no change in Accounts Receivable, Inventory or other current assets other than cash; Accounts Payable or other current ",,,,,,,,,,,,,,,,,,,,,,
,Liabilities other than Notes Payable; Fixed Assets other than equipment; or Equity Accounts other than Retained Earnings,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,PICA,,,,,,,,,,,,,,,,,,,,,
,,Break - Even Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,,,Year 2,,,,Year 3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sales revenue,,,"190,000,000",,,,"238,336,000",,,,"266,936,320",,,,,,,,,,,
,Less: Variable Costs:,,,,,,,,,,,,,,,,,,,,,,
,     Variable Cost of Goods Sold,"167,245,000",,,,"209,792,128",,,,"234,967,183",,,,,,,,,,,,,
,     Variable Operating Costs,"16,600,000",,,,"20,823,040",,,,"23,321,805",,,,,,,,,,,,,
,          Total Variable Costs,,,"183,845,000",,,,"230,615,168",,,,"258,288,988",,,,,,,,,,,
,Contribution Margin,,,"6,155,000",,,,"7,720,832",,,,"8,647,332",,,,,,,,,,,
,Less: Fixed Costs,,,,,,,,,,,,,,,,,,,,,,
,     Fixed Cost of Goods Sold,"1,867,500",,,,"2,342,592",,,,"2,623,703",,,,,,,,,,,,,
,     Fixed Operating Costs,"31,470",,,,"18,621",,,,"13,103",,,,,,,,,,,,,
,     Depreciation,"2,858",,,,"4,898",,,,"3,498",,,,,,,,,,,,,
,     Interest Expense,"30,000",,,,"105,000",,,,"204,000",,,,,,,,,,,,,
,          Total Fixed Costs,,,"1,931,828",,,,"2,471,111",,,,"2,844,304",,,,,,,,,,,
,Income Before Tax,,,"4,223,172",,,,"5,249,721",,,,"5,803,028",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Fixed Costs,"1,931,828",,"2,471,111",,"2,844,304",,,,,,,,,,,,,,,,,
,Contribution Margin %,3%,,3%,,3%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Break Even Sales Volume,"59,634,008",,"76,281,241",,"87,801,409",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Equipment,,Depreciation,,,,,,,,,,,,,,,,,,,
,,Purchases,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Purchases Year 1,"20,000",,"2,858",,"4,898",,"3,498",,,,estimated based on website,http://www.frazaforklifts.com/used_equipment_list5.asp,,,,,,,,,,
,Equipment Purchases Year 2,0,,,,0,,0,,,,,,,,,,,,,,,
,Equipment Purchases Year 3,0,,,,,,0,,,,,,,,,,,,,,,
,,,,"2,858",,"4,898",,"3,498",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,MACRS Rates (7-year recovery period),0.1429,,0.2449,,0.1749,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense:,,,,,,,,,,,,,,,,,,,,,,
,Annual interest rate on debt,12%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,Average debt balance,"250,000",,"875,000",,"1,700,000",,,,,,,,,,,,,,,,,
,Interest expense,"30,000",,"105,000",,"204,000",,,,,,,,,,,,,,,,,
